id,domain,question,expected_behavior,expect_answerable,expected_answer,reference_hint,tags,notes
1,announcements,มหาวิทยาลัยเก็บค่าประกันภัยอุบัติเหตุคืออะไร?,ANSWER,true,"ข้อ 1 ประกาศนี้เรียกว่า ""ประกาศมหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี เรื่อง ""การเก็บค่า ประกันภัยอุบัติเหตุสำหรับนักศึกษา พ.ศ. 2563""",insurance-std.txt,from_v1|reference_hint,
2,announcements,ประกาศค่าประกันภัยมีผลบังคับตั้งแต่เมื่อไร?,ANSWER,true,ข้อ 2 ประกาศนี้ให้ใช้บังคับตั้งแต่ปีการศึกษา 2563 เป็นต้นไป,insurance-std.txt,from_v1|reference_hint,
3,announcements,ใครมีอำนาจเก็บค่าประกันภัยจากนักศึกษา?,ANSWER,true,ข้อ 3 ในประกาศนี้บัญญัติให้สำนักงานทะเบียนนักศึกษาเป็นผู้ดำเนินการเรียกเก็บค่าประกันภัยอุบัติเหตุจากนักศึกษา,insurance-std.txt,from_v1|reference_hint,
4,announcements,นักศึกษาต้องจ่ายค่าประกันภัยเท่าไรต่อปี?,ANSWER,true,ข้อ 4 มหาวิทยาลัยกำหนดอัตราการจัดเก็บค่าประกันภัยอุบัติเหตุจากนักศึกษา ปีการศึกษาละ 500 บาทต่อคน,insurance-std.txt,from_v1|reference_hint,
5,announcements,ใครมีอำนาจวินิจฉัยเมื่อเกิดปัญหากับประกาศนี้?,ANSWER,true,ข้อ 5 ให้อธิการบดีเป็นผู้รักษาการให้เป็นไปตามประกาศนี้ ในกรณีต้องตีความหรือในกรณีมีปัญหาเกี่ยวกับการดำเนินการหรือกรณีที่ไม่ได้มีการระบุตามประกาศนี้ให้อธิการบดีเป็นผู้วินิจฉัยชี้ขาด โดยคำวินิจฉัยหรือคำสั่งของอธิการบดีถือเป็นที่สุด,insurance-std.txt,from_v1|reference_hint,
6,announcements,ประกาศค่าธรรมเนียมการจัดส่งเอกสารมีชื่ออะไร?,ANSWER,true,"ข้อ 1 ประกาศนี้เรียกว่า ""ประกาศมหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี เรื่อง อัตราค่าธรรมเนียม การบริการจัดส่งเอกสารสำคัญทางการศึกษาทางไปรษณีย์ พ.ศ. 2562""",t_fee.txt,from_v1|reference_hint,
7,announcements,ประกาศค่าธรรมเนียมการจัดส่งเอกสารมีผลบังคับตั้งแต่เมื่อไร?,ANSWER,true,ข้อ 2 ประกาศนี้ให้ใช้บังคับตั้งแต่ปีการศึกษา 2562 เป็นต้นไป,t_fee.txt,from_v1|reference_hint,
8,announcements,ใครเป็นผู้เรียกเก็บค่าธรรมเนียมการจัดส่งเอกสาร?,ANSWER,true,ข้อ 3 ให้สำนักงานทะเบียนนักศึกษาเป็นผู้ดำเนินการเรียกเก็บค่าธรรมเนียมในการจัดส่งเอกสารสำคัญทางการศึกษาเป็นรายครั้ง นอกจากนี้จากอัตราค่าธรรมเนียมฯ การจัดทำเอกสารสำคัญทางการศึกษาโดยให้มี อัตราค่าธรรมเนียมการจัดส่งทางไปรษณีย์ ดังนี้,t_fee.txt,from_v1|reference_hint,
9,announcements,ใครมีสิทธิวินิจฉัยปัญหาเกี่ยวกับประกาศค่าธรรมเนียม?,ANSWER,true,ข้อ 4 ให้อธิการบดีเป็นผู้รักษาการให้เป็นไปตามประกาศนี้ ในกรณีที่มีปัญหาเกี่ยวกับการปฏิบัติตามประกาศนี้ให้อธิการบดีเป็นผู้มีอำนาจวินิจฉัยชี้ขาดและให้ถือเป็นที่สุด,t_fee.txt,from_v1|reference_hint,
10,announcements,ค่าจัดส่งเอกสารหนึ่งชุดทางไปรษณีย์ลงทะเบียนเท่าไร?,ANSWER,true,3.1.1 กรณีส่งไปรษณีย์ลงทะเบียน (Registered) ครั้งละ 50 บาท,t_fee.txt,from_v1|reference_hint,
11,announcements,ค่าจัดส่งเอกสารหนึ่งชุดทางไปรษณีย์ด่วนพิเศษ (EMS) เท่าไร?,ANSWER,true,3.1.2 กรณีส่งไปรษณีย์ด่วนพิเศษ (EMS) ครั้งละ 100 บาท,t_fee.txt,from_v1|reference_hint,
