id,domain,question,expected_behavior,expect_answerable,expected_answer,reference_hint,tags,notes
1,announcements,ประกาศปฏิทินการศึกษา 2568 ระบุวันเปิดภาคการศึกษาที่ 1 และภาคการศึกษาที่ 2 วันไหนบ้าง?,ANSWER,true,,ปฏิทินการศึกษา 2568.txt,exact_fact|temporal|calendar,
2,announcements,ตาม AcademicCalendar2025TH กำหนดช่วงสอบปลายภาคอยู่ในช่วงวันไหน?,ANSWER,true,,AcademicCalendar2025TH.txt,numeric_extraction|temporal|calendar,
3,announcements,เอกสาร Approved-exam2568 ประกาศรายวิชา/การสอบที่ได้รับอนุมัติเรื่องอะไร (สรุปใจความ 1–2 บรรทัด)?,ANSWER,true,,Approved-exam2568.txt,paraphrase|synthesis|within_doc,
4,announcements,ประกาศ ENG-B2568 แจ้งรายละเอียดสำคัญอะไรเกี่ยวกับโครงการ/หลักสูตร (สรุปหัวข้อหลัก ๆ)?,ANSWER,true,,ENG-B2568.txt,list_synthesis|within_doc|english_program,
5,announcements,ประกาศ ENG-D2568 ระบุเงื่อนไขหรือกำหนดการที่ผู้สมัครต้องรู้มีอะไรบ้าง?,ANSWER,true,,ENG-D2568.txt,constraint|list_synthesis|english_program,
6,announcements,ประกาศ ENG-M2568 ระบุช่องทาง/วิธีสมัครหรือส่งเอกสารอย่างไร?,ANSWER,true,,ENG-M2568.txt,exact_fact|process|within_doc,
7,announcements,เอกสาร English_Grad_2017 พูดถึงโปรแกรมภาษาอังกฤษระดับบัณฑิตศึกษาสาขา/หลักสูตรใด และมีวัตถุประสงค์อะไร?,ANSWER,true,,English_Grad_2017.txt,within_doc|synthesis|program_info,
8,announcements,ประกาศ develop_eng-2563covid19 ให้แนวทาง/มาตรการอะไรช่วง COVID-19 (สรุปเป็นรายการ)?,ANSWER,true,,develop_eng-2563covid19.txt,list_synthesis|within_doc|covid,
9,announcements,ประกาศ develop_eng-2564covid19 ต่างจากฉบับปี 2563 ตรงไหนบ้าง (สรุป 2–3 จุด)?,ANSWER,true,,develop_eng-2564covid19.txt,compare_contrast|temporal_compare|within_doc,
10,announcements,ประกาศเรื่องเครื่องคิดเลข (calculator2023) ระบุว่าต้องทำอย่างไรถึงจะนำเครื่องคิดเลขเข้าห้องสอบได้?,ANSWER,true,,calculator2023.txt,constraint|process|exam,
11,announcements,calculator2023-2 ระบุ “รุ่นเครื่องคิดเลขที่อนุญาต/ไม่อนุญาต” อย่างไรบ้าง?,ANSWER,true,,calculator2023-2.txt,numeric_extraction|list_synthesis|exam,
12,announcements,ประกาศ Pre-requisite2567-final อธิบายความหมาย/หลักการของรายวิชา prerequisite และผลกระทบถ้าลงไม่ครบอย่างไร?,ANSWER,true,,Pre-requisite2567-final.txt,within_doc|constraint|multi_hop,
13,announcements,ประกาศ pre-co-obem2567 ระบุขั้นตอน/เงื่อนไขการลงทะเบียน pre-coop หรือ OBEM อย่างไร?,ANSWER,true,,pre-co-obem2567.txt,process|constraint|coop,
14,announcements,ประกาศ industraltranning2563update ให้ข้อมูลอะไรเกี่ยวกับการฝึกงานอุตสาหกรรม (เอกสารที่ต้องใช้/เงื่อนไข)?,ANSWER,true,,industraltranning2563update.txt,list_synthesis|constraint|internship,
15,announcements,ประกาศ announce_financ ระบุเรื่องการเงิน/ค่าธรรมเนียมอะไร (สรุปหัวข้อ)?,ANSWER,true,,announce_financ.txt,within_doc|synthesis|finance,
16,announcements,announce_financCancel ระบุว่า ‘ยกเลิก’ ประกาศ/มาตรการใด และมีผลเมื่อไร?,ANSWER,true,,announce_financCancel.txt,temporal|exact_fact|within_doc,
17,announcements,เอกสาร schedule2565 บอกกำหนดการสำคัญอะไรบ้าง (สรุปเป็นลิสต์สั้น ๆ)?,ANSWER,true,,schedule2565.txt,list_synthesis|calendar|within_doc,
