id,domain,question,expected_behavior,expect_answerable,expected_answer,reference_hint,tags,eval_group,notes
1,curriculum,หลักสูตรวิศวกรรมคอมพิวเตอร์ 2564 มีหน่วยกิตรวมตลอดหลักสูตรเท่าไร?,ANSWER,true,130 หน่วยกิต,FOE10_วศ.บ.วิศวกรรมคอมพิวเตอร์_2564.txt,exact_fact|numeric,curriculum_fact_lookup,
2,curriculum,หมวดวิชาศึกษาทั่วไปของหลักสูตรนี้มีกี่หน่วยกิต?,ANSWER,true,31 หน่วยกิต,FOE10_วศ.บ.วิศวกรรมคอมพิวเตอร์_2564.txt,exact_fact|numeric,curriculum_fact_lookup,
3,curriculum,หมวดวิชาเฉพาะของหลักสูตรนี้มีกี่หน่วยกิต?,ANSWER,true,93 หน่วยกิต,FOE10_วศ.บ.วิศวกรรมคอมพิวเตอร์_2564.txt,exact_fact|numeric,curriculum_fact_lookup,
4,curriculum,วิชาแกนทางวิศวกรรมในหลักสูตรนี้มีกี่หน่วยกิต?,ANSWER,true,30 หน่วยกิต,FOE10_วศ.บ.วิศวกรรมคอมพิวเตอร์_2564.txt,exact_fact|numeric,curriculum_fact_lookup,
5,curriculum,วิชาเฉพาะด้านในหลักสูตรนี้มีกี่หน่วยกิต?,ANSWER,true,51 หน่วยกิต,FOE10_วศ.บ.วิศวกรรมคอมพิวเตอร์_2564.txt,exact_fact|numeric,curriculum_fact_lookup,
6,curriculum,หมวดวิชาเลือกเสรีมีกี่หน่วยกิต?,ANSWER,true,6 หน่วยกิต,FOE10_วศ.บ.วิศวกรรมคอมพิวเตอร์_2564.txt,exact_fact|numeric,curriculum_fact_lookup,
7,curriculum,CPE 342 คือวิชาอะไร?,ANSWER,true,การเรียนรู้ของเครื่อง (Machine Learning),FOE10_วศ.บ.วิศวกรรมคอมพิวเตอร์_2564.txt,course_lookup,curriculum_fact_lookup,
8,curriculum,CPE 300 ฝึกวิชาชีพคอมพิวเตอร์มีกี่หน่วยกิต?,ANSWER,true,2 หน่วยกิต,FOE10_วศ.บ.วิศวกรรมคอมพิวเตอร์_2564.txt,course_lookup|numeric,curriculum_fact_lookup,
9,curriculum,CPE 401 โครงงานวิศวกรรมคอมพิวเตอร์ 1 มีกี่หน่วยกิต?,ANSWER,true,3 หน่วยกิต,FOE10_วศ.บ.วิศวกรรมคอมพิวเตอร์_2564.txt,course_lookup|numeric,curriculum_fact_lookup,
10,curriculum,CPE 403 การศึกษาเชิงบูรณาการกับการทำงานมีกี่หน่วยกิต?,ANSWER,true,9 หน่วยกิต,FOE10_วศ.บ.วิศวกรรมคอมพิวเตอร์_2564.txt,course_lookup|numeric,curriculum_fact_lookup,
11,curriculum,LNG 120 มี Pre-requisite อะไร?,ANSWER,true,ไม่มี,วิชา LNG 2562.txt,prerequisite|course-code,prerequisite_course_code,
12,curriculum,LNG 220 ต้องผ่านวิชาใดก่อน?,ANSWER,true,LNG 120 หรือได้รับการยกเว้นโดยมีคะแนน O-NET สูงกว่า 40,วิชา LNG 2562.txt,prerequisite|course-code,prerequisite_course_code,
13,curriculum,LNG 222 มีเงื่อนไขก่อนเรียนอย่างไร?,ANSWER,true,LNG 221 หรือมีคะแนนสอบภาษาอังกฤษ O-NET ระหว่าง 56-75%,วิชา LNG 2562.txt,prerequisite|course-code,prerequisite_course_code,
14,curriculum,LNG 223 ต้องมีพื้นฐานวิชาใดก่อนเรียน?,ANSWER,true,LNG 220 หรือ LNG 222 หรือ LNG 321,วิชา LNG 2562.txt,prerequisite|course-code,prerequisite_course_code,
15,curriculum,LNG 200 Effective Listening 1 ต้องผ่านอะไรมาก่อน?,ANSWER,true,LNG 220 หรือ LNG 222,วิชา LNG 2562.txt,prerequisite|course-code,prerequisite_course_code,
16,curriculum,LNG 201 Extensive Reading 1 ต้องผ่านวิชาอะไรมาก่อน?,ANSWER,true,LNG 220 หรือ LNG 222 หรือ LNG 321,วิชา LNG 2562.txt,prerequisite|course-code,prerequisite_course_code,
17,curriculum,CPE 241 คือวิชาอะไร?,ANSWER,true,ระบบฐานข้อมูล (Database Systems),FOE10_วศ.บ.วิศวกรรมคอมพิวเตอร์_2564.txt,course_lookup,prerequisite_course_code,
18,curriculum,CPE 111 คือวิชาอะไร?,ANSWER,true,คณิตศาสตร์ดิสครีตสำหรับวิศวกรคอมพิวเตอร์ (Discrete Mathematics for Computer Engineers),FOE10_วศ.บ.วิศวกรรมคอมพิวเตอร์_2564.txt,course_lookup,prerequisite_course_code,
19,curriculum,CPE 301 คือวิชาอะไรและกี่หน่วยกิต?,ANSWER,true,ประเด็นความเป็นมืออาชีพด้านวิศวกรรมคอมพิวเตอร์ 1 หน่วยกิต,FOE10_วศ.บ.วิศวกรรมคอมพิวเตอร์_2564.txt,course_lookup|numeric,prerequisite_course_code,
20,curriculum,CPE 223 คือวิชาอะไร?,ANSWER,true,สถาปัตยกรรมคอมพิวเตอร์ (Computer Architectures),FOE10_วศ.บ.วิศวกรรมคอมพิวเตอร์_2564.txt,course_lookup,prerequisite_course_code,
