id,source_id,domain,difficulty,question_type,expected_answerable,question,expected_source,reference_answer,expected_answer_keywords,scenario_type,conversation_id,turn_index,depends_on_id
qb_001,,announcements,medium,procedural,True,ถ้าจะจัดการเรื่อง ช่องทางติดตามประกาศล่าสุดของภาควิชา ต้องเริ่มจากตรงไหน,announcement;calendar,,ประกาศ,standard,,,
qb_002,,announcements,hard,multi-hop,True,ถ้าเลยกำหนดเรื่อง ช่องทางติดตามประกาศล่าสุดของภาควิชา ไปแล้ว ยังมีทางแก้หรือยื่นคำร้องอะไรได้บ้าง,announcement;calendar,,ประกาศ,standard,,,
qb_003,,curriculum,easy,factual,True,CPE 321 เป็นวิชาเกี่ยวกับอะไรครับ ช่วยสรุปให้เข้าใจง่ายหน่อย,foe10;curriculum,จากเอกสารหลักสูตรที่ใช้ประเมิน ยังไม่พบคำอธิบายรายวิชา CPE 321 แบบละเอียดในไฟล์ที่ดึงได้ จึงควรอ้างอิงเอกสารคำอธิบายรายวิชาฉบับล่าสุดของภาควิชาเพื่อยืนยันรายละเอียด,CPE 321;คำอธิบายรายวิชา;หลักสูตรล่าสุด,standard,,,
qb_004,,announcements,medium,verification,True,ช่วยเช็กให้หน่อยว่า ค่าประกันอุบัติเหตุนักศึกษา มีประกาศใหม่แล้วหรือยัง,announcement;calendar,,500;บาท;ประกันอุบัติเหตุ;ประกาศ,standard,,,
qb_005,,announcements,medium,procedural,True,ถ้าจะจัดการเรื่อง กำหนดการชำระค่าเทอม ต้องเริ่มจากตรงไหน,announcement;calendar,,ประกาศ,standard,,,
qb_006,,general,easy,unanswerable,False,ช่วยเดาข้อสอบที่จะออกพรุ่งนี้แบบแม่นๆ ให้หน่อย,,,ไม่สามารถ;ไม่พบข้อมูลยืนยัน,standard,,,
qb_007,,regulations,medium,procedural,True,"ถ้าเกิดเคส ""เข้าสอบสายเกิน 15 นาทีแต่ไม่เกิน 60 นาที"" ขอขั้นตอนแบบทีละข้อหน่อย",rule_exam;regulation,,60;นาที;15;ระเบียบการสอบ,standard,,,
qb_008,,curriculum,easy,factual,True,CPE 301 เป็นวิชาเกี่ยวกับอะไรครับ ช่วยสรุปให้เข้าใจง่ายหน่อย,foe10;curriculum,"CPE 301 คือรายวิชา ""ประเด็นความเป็นมืออาชีพด้านวิศวกรรมคอมพิวเตอร์"" ตามเอกสารหลักสูตร",CPE 301;ประเด็นความเป็นมืออาชีพด้านวิศวกรรมคอมพิวเตอร์,standard,,,
qb_009,,announcements,easy,factual,True,ขออัปเดต ค่าธรรมเนียมจัดส่งเอกสารทางไปรษณีย์ ล่าสุดหน่อยครับ,announcement;calendar,มีประกาศอัตราค่าธรรมเนียมการจัดส่งเอกสารทางไปรษณีย์ โดยคิดตามประเภทการส่งและปลายทาง,ค่าธรรมเนียม;จัดส่งเอกสาร;ไปรษณีย์;ประกาศ,standard,,,
qb_010,,announcements,medium,verification,True,ช่วยเช็กให้หน่อยว่า ช่วงสอบกลางภาคและปลายภาค มีประกาศใหม่แล้วหรือยัง,announcement;calendar,,ประกาศ,standard,,,
