Announcements — คำถาม (นักศึกษาจะถาม) และคำตอบที่คาดว่าจะตอบ,,,,,
,,,,,
ลำดับ,คำถาม,คำตอบที่คาดว่าจะตอบ,"คำตอบที่ระบบตอบ
รอบที่1","คำตอบที่ระบบตอบ
รอบที่2","คำตอบที่ระบบตอบ
รอบที่3"
1,ตามประกาศ ข้อ 1 ระบุเรื่องอะไร/มีใจความว่าอย่างไร?,"ข้อ 1 ประกาศนี้เรียกว่า “ประกาศมหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี เรื่อง ""การเก็บค่า ประกันภัยอุบัติเหตุสำหรับนักศึกษา พ.ศ. 2563”",,,
2,ตามประกาศ ข้อ 2 ระบุเรื่องอะไร/มีใจความว่าอย่างไร?,ข้อ 2 ประกาศนี้ให้ใช้บังคับตั้งแต่ปีการศึกษา 2563 เป็นต้นไป,,,
3,ตามประกาศ ข้อ 3 ระบุเรื่องอะไร/มีใจความว่าอย่างไร?,ข้อ 3 ในประกาศนี้,,,
4,ค่าประกันภัยอุบัติเหตุสำหรับนักศึกษาเก็บเท่าไรต่อปีการศึกษา?,ข้อ 4 มหาวิทยาลัยกำหนดอัตราการจัดเก็บค่าประกันภัยอุบัติเหตุจากนักศึกษา ปีการศึกษาละ 500 บาทต่อคน,,,
5,ตามประกาศ ข้อ 5 ระบุเรื่องอะไร/มีใจความว่าอย่างไร?,ข้อ 5 ให้อธิการบดีเป็นผู้รักษาการให้เป็นไปตามประกาศนี้ ในกรณีต้องตีความหรือในกรณีมีปัญหา เกี่ยวกับการดำเนินการหรือกรณีที่ไม่ได้มีการระบุตามประกาศนี้ให้อธิการบดีเป็นผู้วินิจฉัยชี้ขาด โดยคำวินิจฉัย หรือคำสั่งของอธิการบดี ถือเป็นที่สุด,,,
6,ตามประกาศ ข้อ 1 ระบุเรื่องอะไร/มีใจความว่าอย่างไร? (อ้างอิง: t_fee.txt),"ข้อ 1 ประกาศนี้เรียกว่า “ประกาศมหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี เรื่อง อัตราค่าธรรมเนียม การบริการจัดส่งเอกสารสำคัญทางการศึกษาทางไปรษณีย์ พ.ศ. 2562""",,,
7,ตามประกาศ ข้อ 2 ระบุเรื่องอะไร/มีใจความว่าอย่างไร? (อ้างอิง: t_fee.txt),ข้อ 2 ประกาศนี้ให้ใช้บังคับตั้งแต่ปีการศึกษา 2562 เป็นต้นไป,,,
8,ตามประกาศ ข้อ 3 ระบุเรื่องอะไร/มีใจความว่าอย่างไร? (อ้างอิง: t_fee.txt),ข้อ 3 ให้สำนักงานทะเบียนนักศึกษาเป็นผู้ดำเนินการเรียกเก็บค่าธรรมเนียมในการจัดส่งเอกสารสำคัญ ทางการศึกษาเป็นรายครั้ง นอกจากนี้จากอัตราค่าธรรมเนียมฯ การจัดทำเอกสารสำคัญทางการศึกษาโดยให้มี อัตราค่าธรรมเนียมการจัดส่งทางไปรษณีย์ ดังนี้,,,
9,ตามประกาศ ข้อ 4 ระบุเรื่องอะไร/มีใจความว่าอย่างไร?,ข้อ 4 ให้อธิการบดีเป็นผู้รักษาการให้เป็นไปตามประกาศนี้ ในกรณีที่มีปัญหาเกี่ยวกับการปฏิบัติตาม ประกาศนี้ให้อธิการบดีเป็นผู้มีอำนาจวินิจฉัยชี้ขาดและให้ถือเป็นที่สุด,,,
