Announcements — คำถาม (นักศึกษาจะถาม) และคำตอบที่คาดว่าจะตอบ,,,,,
,,,,,
ลำดับ,คำถาม,คำตอบที่คาดว่าจะตอบ,"คำตอบที่ระบบตอบ
รอบที่1","คำตอบที่ระบบตอบ
รอบที่2","คำตอบที่ระบบตอบ
รอบที่3"
1,ตามประกาศ ข้อ 1 ระบุเรื่องอะไร/มีใจความว่าอย่างไร?,"ข้อ 1 ประกาศนี้เรียกว่า “ประกาศมหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี เรื่อง ""การเก็บค่า ประกันภัยอุบัติเหตุสำหรับนักศึกษา พ.ศ. 2563”","ข้อ 1 ของประกาศระบุว่า ประกาศฉบับนี้มีชื่อว่า
**""ประกาศมหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรีเรื่องนโยบายการพัฒนาภาษาอังกฤษของนักศึกษามจธ. ภายใต้มาตรการและการเฝ้าระวังการระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 (COVID-19) พ.ศ. 2563""**",,
2,ตามประกาศ ข้อ 2 ระบุเรื่องอะไร/มีใจความว่าอย่างไร?,ข้อ 2 ประกาศนี้ให้ใช้บังคับตั้งแต่ปีการศึกษา 2563 เป็นต้นไป,"ข้อ 2 ในบริบทที่ให้มาปรากฏในหลายฉบับ แต่ละฉบับมีเนื้อหาแตกต่างกันไป ดังนี้:
- จาก ****:
ข้อ 2 ระบุว่า ""ประกาศนี้ให้ใช้ตั้งแต่วันถัดจากวันประกาศเป็นต้นไป""
- จาก ****:
ข้อ 2 ระบุว่า ""ประกาศนี้มีผลใช้บังคับตั้งแต่วันถัดจากวันประกาศเป็นต้นไป""
- จาก ****:
ข้อ 2 ระบุว่า ""ประกาศนี้ให้มีผลใช้บังคับตั้งแต่ภาคการศึกษาที่ 1 ปีการศึกษา 2567 เป็นต้นไป""
- จาก ****:
ข้อ 2 ระบุว่า ""ประกาศนี้ให้ใช้บังคับตั้งแต่ปีการศึกษา 2563 เป็นต้นไป""
**สรุป**:
ข้อ 2 ในแต่ละประกาศมีใจความเกี่ยวกับ **วันที่ประกาศนี้เริ่มมีผลใช้บังคับ** ซึ่งแตกต่างกันไปตามแต่ละฉบับ โดยทั่วไประบุว่าเริ่มใช้ตั้งแต่วันถัดจากวันประกาศ หรือตั้งแต่ภาคการศึกษาหรือปีการศึกษาที่กำหนด
**หมายเหตุ**:
เอกสารไม่ได้กล่าวตรง ๆ ว่า ""ข้อ 2"" ในประกาศใดประกาศหนึ่งมีใจความว่าอย่างไรโดยไม่ระบุชื่อประกาศ จึงสรุปได้เฉพาะจากบริบทที่มีว่า ข้อ 2 ทุกฉบับเกี่ยวข้องกับ **วันที่เริ่มมีผลบังคับใช้ของประกาศ** เท่านั้น.",,
3,ตามประกาศ ข้อ 3 ระบุเรื่องอะไร/มีใจความว่าอย่างไร?,ข้อ 3 ในประกาศนี้,"ข้อ 3 ของประกาศฉบับดังกล่าวระบุว่า:
- นักศึกษาที่จะสำเร็จการศึกษาในปีการศึกษา 2562 ซึ่งเป็นนักศึกษาระดับบัณฑิตศึกษาของคณะเทคโนโลยีสารสนเทศ และนักศึกษาระดับปริญญาตรีของคณะวิศวกรรมศาสตร์ ในสาขาวิชาวิศวกรรมไฟฟ้าสื่อสารและอิเล็กทรอนิกส์ สาขาวิชาวิศวกรรมอัตโนมัติ และสาขาวิชาวิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ) สามารถทดสอบภาษาอังกฤษแบบออนไลน์โดยใช้ Oxford Online Placement Test ได้เฉพาะในช่วงที่มีการแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 (COVID-19) เพื่อประกอบการขอสำเร็จการศึกษาในปีการศึกษา 2562 เท่านั้น
- ผลคะแนนสอบต้องเป็นตามเกณฑ์ CEFR ที่กำหนดไว้ในหลักสูตรของ TETET สำหรับแต่ละหลักสูตรที่เกี่ยวข้อง",,
4,ค่าประกันภัยอุบัติเหตุสำหรับนักศึกษาเก็บเท่าไรต่อปีการศึกษา?,ข้อ 4 มหาวิทยาลัยกำหนดอัตราการจัดเก็บค่าประกันภัยอุบัติเหตุจากนักศึกษา ปีการศึกษาละ 500 บาทต่อคน,"- ค่าประกันภัยอุบัติเหตุสำหรับนักศึกษาต่างชาติที่ระบุในบริบทคือ 186 บาทต่อปีการศึกษา
- สำหรับนักศึกษาไทย บริบทระบุว่า ""มหาวิทยาลัยกำหนดอัตราการจัดเก็บค่าประกันภัยอุบัติเหตุจากนักศึกษาปีการศึกษาละ 500 บาทต่อคน""
ดังนั้น ค่าประกันภัยอุบัติเหตุสำหรับนักศึกษาไทยคือ **500 บาทต่อปีการศึกษา**
(ข้อมูลนี้มาจากเอกสาร และ ซึ่งระบุชัดเจน)
**หมายเหตุ:** บริบทไม่ได้กล่าวถึงค่าประกันภัยอุบัติเหตุสำหรับนักศึกษาไทยในปีการศึกษาอื่นนอกเหนือจากที่ระบุไว้ แต่ข้อมูลที่มียืนยันว่า 500 บาทต่อปีการศึกษา สำหรับนักศึกษาไทย.",,
5,ตามประกาศ ข้อ 5 ระบุเรื่องอะไร/มีใจความว่าอย่างไร?,ข้อ 5 ให้อธิการบดีเป็นผู้รักษาการให้เป็นไปตามประกาศนี้ ในกรณีต้องตีความหรือในกรณีมีปัญหา เกี่ยวกับการดำเนินการหรือกรณีที่ไม่ได้มีการระบุตามประกาศนี้ให้อธิการบดีเป็นผู้วินิจฉัยชี้ขาด โดยคำวินิจฉัย หรือคำสั่งของอธิการบดี ถือเป็นที่สุด,"ข้อ 5 ในบริบทที่ให้มา ปรากฏในเอกสารชื่อ **eng2561.txt/1** ซึ่งระบุว่า:
- ให้อธิการบดีเป็นผู้รักษาการให้เป็นไปตามประกาศนี้
- ในกรณีที่มีข้อขัดแย้งหรือข้อโต้แย้ง อธิการบดีเป็นผู้วินิจฉัยชี้ขาด
- คำวินิจฉัยหรือคำสั่งของอธิการบดีถือเป็นที่สุด
ดังนั้น ข้อ 5 ระบุถึงอำนาจของอธิการบดีในการรักษาการดำเนินการตามประกาศ และเป็นผู้ตัดสินข้อขัดแย้งในกรณีที่เกิดขึ้น โดยคำตัดสินของอธิการบดีมีผลผูกพันสูงสุด.",,
6,ตามประกาศ ข้อ 1 ระบุเรื่องอะไร/มีใจความว่าอย่างไร? (อ้างอิง: t_fee.txt),"ข้อ 1 ประกาศนี้เรียกว่า “ประกาศมหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี เรื่อง อัตราค่าธรรมเนียม การบริการจัดส่งเอกสารสำคัญทางการศึกษาทางไปรษณีย์ พ.ศ. 2562""","- ข้อ 1 ของประกาศฉบับที่อ้างอิง (t_fee.txt) ไม่สามารถระบุได้ว่ามีเนื้อหาอย่างไร เนื่องจากเอกสารที่ให้มาไม่ได้มีชื่อไฟล์หรือข้อมูลที่ระบุว่าเป็น ""t_fee.txt""
- จากบริบทที่มี พบข้อ 1 ในเอกสารอื่น ๆ เช่น:
- eng2561.txt: ระบุชื่อประกาศว่า ""ประกาศมหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรีเรื่องนโยบายการพัฒนาภาษาอังกฤษของนักศึกษามจธ. พ.ศ. 2561""
- fee2567update.txt: ระบุชื่อประกาศว่า ""ประกาศมหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรีเรื่องอัตราค่าบำรุงการศึกษาและค่าธรรมเนียมการศึกษาสำหรับนักศึกษาต่างชาติระดับปริญญาตรีและระดับบัณฑิตศึกษาพ.ศ. 2567""
- eng_b2568.txt: ระบุชื่อประกาศว่า “ประกาศมหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรีเรื่องนโยบายการพัฒนาภาษาอังกฤษของนักศึกษาระดับปริญญาตรี (ฉบับที่ 2) พ.ศ. 2568”
- อย่างไรก็ตาม ไม่มีข้อมูลใดในบริบทที่ระบุถึง ""t_fee.txt"" หรือเนื้อหาของข้อ 1 ในเอกสารนั้นโดยตรง
- **สรุป**: เอกสารไม่ได้กล่าวตรง ๆ หรือไม่มีข้อความยืนยันโดยตรงเกี่ยวกับข้อ 1 ของประกาศในไฟล์ ""t_fee.txt""",,
7,ตามประกาศ ข้อ 2 ระบุเรื่องอะไร/มีใจความว่าอย่างไร? (อ้างอิง: t_fee.txt),ข้อ 2 ประกาศนี้ให้ใช้บังคับตั้งแต่ปีการศึกษา 2562 เป็นต้นไป,"- ข้อ 2 ของประกาศที่อ้างอิง (t_fee.txt) ระบุว่า:
**""ประกาศนี้ให้ใช้บังคับตั้งแต่ปีการศึกษา 2563 เป็นต้นไป""**
- ใจความสำคัญของข้อ 2 คือ การกำหนดวันที่ประกาศมีผลบังคับใช้ ซึ่งคือ **ตั้งแต่ปีการศึกษา 2563** (พ.ศ. 2563) เป็นต้นไป
> หมายเหตุ: บริบทที่ให้มาไม่ได้กล่าวถึง ""t_fee.txt"" โดยตรง แต่ข้อมูลจากเอกสารที่มีชื่อใกล้เคียง (เช่น insurance_std_1.txt และ eng2561.txt) แสดงให้เห็นว่าข้อ 2 มีเนื้อหาเกี่ยวกับวันที่ประกาศมีผลบังคับใช้ ซึ่งสอดคล้องกันในหลายฉบับ โดยเฉพาะในเอกสารที่ระบุว่า ""ตั้งแต่ปีการศึกษา 2563 เป็นต้นไป"" ดังนั้นจึงสรุปได้ว่าข้อ 2 ของประกาศนี้มีใจความว่าการใช้บังคับตั้งแต่ปีการศึกษา 2563 เป็นต้นไป.",,
8,ตามประกาศ ข้อ 3 ระบุเรื่องอะไร/มีใจความว่าอย่างไร? (อ้างอิง: t_fee.txt),ข้อ 3 ให้สำนักงานทะเบียนนักศึกษาเป็นผู้ดำเนินการเรียกเก็บค่าธรรมเนียมในการจัดส่งเอกสารสำคัญ ทางการศึกษาเป็นรายครั้ง นอกจากนี้จากอัตราค่าธรรมเนียมฯ การจัดทำเอกสารสำคัญทางการศึกษาโดยให้มี อัตราค่าธรรมเนียมการจัดส่งทางไปรษณีย์ ดังนี้,"จากบริบทที่ให้มา ไม่มีข้อ 3 ในเอกสาร t_fee.txt
เอกสาร t_fee.txt มีข้อความเริ่มต้นที่ ""ข้อ 70"" และมีการระบุข้อความต่อเนื่องถึง ""ข้อ 25514"" โดยไม่มีการระบุ ""ข้อ 3"" เลย
ดังนั้น ข้อมูลในบริบทไม่ได้กล่าวถึง ""ข้อ 3"" ของประกาศ t_fee.txt อย่างชัดเจน
**สรุป:** เอกสารไม่ได้กล่าวตรง ๆ หรือไม่มีข้อความยืนยันโดยตรงเกี่ยวกับ ""ข้อ 3"" ในประกาศ t_fee.txt",,
9,ตามประกาศ ข้อ 4 ระบุเรื่องอะไร/มีใจความว่าอย่างไร?,ข้อ 4 ให้อธิการบดีเป็นผู้รักษาการให้เป็นไปตามประกาศนี้ ในกรณีที่มีปัญหาเกี่ยวกับการปฏิบัติตาม ประกาศนี้ให้อธิการบดีเป็นผู้มีอำนาจวินิจฉัยชี้ขาดและให้ถือเป็นที่สุด,"**ข้อ 4** ของประกาศฉบับดังกล่าวระบุว่า:
- นักศึกษาระดับปริญญาตรีชั้นปีสุดท้าย ที่อยู่ในหลักสูตรปกติและหลักสูตรที่ไม่มีการกำหนดเกณฑ์ภาษาอังกฤษสำหรับการสำเร็จการศึกษา สามารถขอรับใบรายงานผลการเรียนฉบับสมบูรณ์และขึ้นทะเบียนบัณฑิตได้ **โดยไม่จำเป็นต้องเข้ารับการทดสอบ TETET**
- การเข้าสอบ TETET เป็นไปตาม **ความสมัครใจของนักศึกษา**
> หมายเหตุ: ข้อความนี้มีผลเฉพาะสำหรับนักศึกษาที่จะสำเร็จการศึกษาในปีการศึกษา 2562 เท่านั้น และเกี่ยวข้องกับมาตรการพิเศษภายใต้สถานการณ์การระบาดของโรคโควิด-19",,
