ข้อ,ประเภทคำถาม,คำถาม,คำตอบที่คาดหวัง,คำตอบ1,คำตอบ2,คำตอบ3,คำตอบ4
1,Factual,รหัสหลักสูตรวิศวกรรมคอมพิวเตอร์ มจธ. คืออะไร?,รหัส 2530001,,,,
2,Factual,ชื่อเต็มภาษาอังกฤษของปริญญาที่ได้รับคืออะไร?,Bachelor of Engineering (Computer Engineering),,,,
3,Factual,ชื่อย่อภาษาไทยของปริญญาวิศวกรรมคอมพิวเตอร์คืออะไร?,วศ.บ. (วิศวกรรมคอมพิวเตอร์),,,,
4,Factual,หลักสูตรปรับปรุง พ.ศ. 2564 ได้รับอนุมัติจากสภา มจธ. ครั้งที่เท่าไร และวันที่เท่าไร?,ครั้งที่ 257 วันที่ 6 มกราคม พ.ศ. 2564,,,,
5,Factual,หลักสูตรนี้กำหนดเปิดสอนเดือนใด ปีการศึกษาอะไร?,เดือนสิงหาคม พ.ศ. 2564 ภาคการศึกษาที่ 1 ปีการศึกษา 2564,,,,
6,Factual,จำนวนหน่วยกิตรวมตลอดหลักสูตรวิศวกรรมคอมพิวเตอร์ มจธ. คือเท่าไร?,130 หน่วยกิต,,,,
7,Factual,หลักสูตรวิศวกรรมคอมพิวเตอร์เป็นหลักสูตรระดับใด และมีระยะเวลาเรียนกี่ปี?,หลักสูตรระดับปริญญาตรี 4 ปี,,,,
8,Factual,หลักสูตรนี้รับนักศึกษาจากกลุ่มใด?,รับเฉพาะนักศึกษาไทย,,,,
9,Factual,หลักสูตรวิศวกรรมคอมพิวเตอร์ มจธ. ปรับปรุงมาจากหลักสูตรใด?,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ หลักสูตรปรับปรุง พ.ศ. 2559,,,,
10,Factual,สภาวิชาการพิจารณากลั่นกรองหลักสูตรนี้ในการประชุมครั้งที่เท่าไร เมื่อวันที่เท่าไร?,ครั้งที่ 12/2563 เมื่อวันที่ 14 ธันวาคม พ.ศ. 2563,,,,
11,Hallucination Trap,หลักสูตรวิศวกรรมคอมพิวเตอร์ มจธ. รับทั้งนักศึกษาไทยและนักศึกษาต่างชาติ ใช่หรือไม่?,ข้อมูลในคำถามไม่ถูกต้อง หลักสูตรนี้รับเฉพาะนักศึกษาไทยเท่านั้น,,,,
12,Hallucination Trap,หลักสูตรวิศวกรรมคอมพิวเตอร์ มจธ. ปรับปรุง พ.ศ. 2564 อนุมัติโดยสภา มจธ. ครั้งที่ 260 ใช่หรือไม่?,ข้อมูลในคำถามไม่ถูกต้อง อนุมัติในการประชุมสภา มจธ. ครั้งที่ 257 ไม่ใช่ครั้งที่ 260,,,,
13,Hallucination Trap,หลักสูตรวิศวกรรมคอมพิวเตอร์ มจธ. ปรับปรุง พ.ศ. 2564 ใช้ภาษาอังกฤษเป็นหลักในการเรียนการสอน ใช่หรือไม่?,ข้อมูลในคำถามไม่ถูกต้อง หลักสูตรจัดการศึกษาภาษาไทยเป็นหลัก และภาษาอังกฤษในบางรายวิชาเท่านั้น,,,,
14,Factual,หมวดวิชาศึกษาทั่วไปของหลักสูตรวิศวกรรมคอมพิวเตอร์ มจธ. มีกี่หน่วยกิต?,31 หน่วยกิต,,,,
15,Factual,หมวดวิชาเฉพาะของหลักสูตรวิศวกรรมคอมพิวเตอร์มีกี่หน่วยกิต?,93 หน่วยกิต,,,,
16,Factual,หมวดวิชาเฉพาะแบ่งเป็นกลุ่มอะไรบ้าง และแต่ละกลุ่มมีกี่หน่วยกิต?,"วิชาแกนทางวิศวกรรม 30 หน่วยกิต, วิชาเฉพาะด้าน 51 หน่วยกิต, วิชาเลือก 12 หน่วยกิต",,,,
17,Factual,หมวดวิชาเลือกเสรีของหลักสูตรวิศวกรรมคอมพิวเตอร์มีกี่หน่วยกิต?,6 หน่วยกิต,,,,
18,Hallucination Trap,หมวดวิชาเฉพาะของหลักสูตรวิศวกรรมคอมพิวเตอร์ มจธ. มีวิชาเลือก 15 หน่วยกิต ใช่หรือไม่?,ข้อมูลในคำถามไม่ถูกต้อง วิชาเลือกในหมวดวิชาเฉพาะมี 12 หน่วยกิต ไม่ใช่ 15 หน่วยกิต,,,,
19,Hallucination Trap,หลักสูตรวิศวกรรมคอมพิวเตอร์ มจธ. มีจำนวนหน่วยกิตรวมทั้งหมด 135 หน่วยกิต ใช่หรือไม่?,ข้อมูลในคำถามไม่ถูกต้อง หน่วยกิตรวมตลอดหลักสูตรคือ 130 หน่วยกิต ไม่ใช่ 135 หน่วยกิต,,,,
