Announcements — คำถาม (นักศึกษาจะถาม) และคำตอบที่คาดว่าจะตอบ,,,,,
,,,,,
ลำดับ,คำถาม,คำตอบที่คาดว่าจะตอบ,"คำตอบที่ระบบตอบ
รอบที่1","คำตอบที่ระบบตอบ
รอบที่2","คำตอบที่ระบบตอบ
รอบที่3"
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
,,,,,
,,,,,
Curriculum — คำถาม (นักศึกษาจะถาม) และคำตอบที่คาดว่าจะตอบ,,,,,
,,,,,
ลำดับ,คำถาม,คำตอบที่คาดว่าจะตอบ,,,
1,ปี 1 เทอมแรกควรลงวิชาอะไรบ้างถึงจะไม่หนักเกินไป?,ควรลงตามแผนการเรียนที่หลักสูตรแนะนำ โดยเน้นวิชาพื้นฐานก่อน และไม่ควรลงหน่วยกิตเกิน 15–18 หน่วยกิตในเทอมแรก,- หลักสูตรกำหนดหน่วยกิตรวม 130 หน่วยกิต,,
2,ถ้าพื้นฐานไม่แน่น จะมีวิชาเสริมให้เรียนไหม?,บางหลักสูตรมีคอร์สปรับพื้นฐานหรือเอกสารเสริม สามารถสอบถามฝ่ายวิชาการเพิ่มเติมได้,เอกสารไม่ได้กล่าวตรง ๆ หรือไม่มีข้อความยืนยันโดยตรงว่าหากพื้นฐานไม่แน่นจะมีวิชาเสริมให้เรียนหรือไม่.,,
3,วิชาไหนที่นักศึกษามักบอกว่ายาก ควรเตรียมตัวยังไงดี?,วิชาที่มีเนื้อหาเชิงวิเคราะห์หรือคำนวณมักยาก ควรอ่านล่วงหน้าและเข้าพบอาจารย์เมื่อไม่เข้าใจ,"เอกสารไม่ได้กล่าวตรง ๆ ว่าวิชาใดเป็นวิชาที่นักศึกษามักบอกว่ายาก
เอกสารไม่ได้กล่าวตรง ๆ เกี่ยวกับคำแนะนำในการเตรียมตัวสำหรับวิชาที่ยาก
อย่างไรก็ตาม จากบริบทสามารถสรุปได้ว่า:
- นักศึกษาควรเรียนรู้จักจุดแข็งและจุดอ่อนด้านการเรียนรู้ของตนเอง (Identify their own learning strengths and weaknesses)
- ควรจัดทำแผนการเรียนรู้อย่างมีประสิทธิภาพ (Make an effective plan to develop their own learning)
ดังนั้น แม้จะไม่มีข้อมูลชัดเจนว่าวิชาใดยาก แต่แนวทางการเตรียมตัวที่แนะนำคือ การประเมินตนเองและวางแผนการเรียนรู้อย่างเป็นระบบ",,
