name,teaching_part,level,course_code,course_title_th,credits
รศ.ดร. ธำรงรัตน์ อมรรักษา,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 314,เครือข่ายคอมพิวเตอร์,3
รศ.ดร. ธำรงรัตน์ อมรรักษา,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 341,เครือข่ายคอมพิวเตอร์,3
รศ.ดร. ธำรงรัตน์ อมรรักษา,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 464,การประมวลผลรูปภาพดิจิทัลสำหรับการป้องกันลิขสิทธิ์,3
รศ.ดร. ธำรงรัตน์ อมรรักษา,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 381,ความปลอดภัยของข้อมูลสำหรับการสื่อสารสื่อประสม,3
รศ.ดร. ธำรงรัตน์ อมรรักษา,ภาระงานสอนในปัจจุบัน,ปริญญาโท,CPE 602,สัมมนาวิศวกรรมคอมพิวเตอร์,1
รศ.ดร. ธำรงรัตน์ อมรรักษา,ภาระงานสอนในปัจจุบัน,ปริญญาโท,CPE 633,การทำลายน้ำดิจิทัลสำหรับเนื้อหาสื่อประสม,3
รศ.ดร. ธำรงรัตน์ อมรรักษา,ภาระงานสอนในปัจจุบัน,ปริญญาโท,CPE 655,ความมั่นคงปลอดภัยข้อมูลสำหรับการสื่อสารสื่อประสม,3
รศ.ดร. ธำรงรัตน์ อมรรักษา,ภาระงานสอนในปัจจุบัน,ปริญญาเอก,CPE 691,ระเบียบวิธีวิจัย,2
รศ.ดร. ธำรงรัตน์ อมรรักษา,ภาระงานสอนในปัจจุบัน,ปริญญาเอก,CPE 711,สัมมนาวิศวกรรมไฟฟ้าและคอมพิวเตอร์,1
รศ.ดร. ธำรงรัตน์ อมรรักษา,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 314,เครือข่ายคอมพิวเตอร์,3
รศ.ดร. ธำรงรัตน์ อมรรักษา,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 373,ความมั่นคงของข้อมูลสำหรับการสื่อสารสื่อประสม,3
รศ.ดร. ธำรงรัตน์ อมรรักษา,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 383,การประมวลผลรูปภาพดิจิทัลสำหรับการป้องกันลิขสิทธิ์,3
รศ.ดร. ธำรงรัตน์ อมรรักษา,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 474,ความมั่นคงของสารสนเทศและคอมพิวเตอร์,3
รศ.ดร. นฤมล วัฒนพงศกร,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 121,คณิตศาสตร์ดิสครีตสำหรับวิศวกรคอมพิวเตอร์,3
รศ.ดร. นฤมล วัฒนพงศกร,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 341,การออกแบบการทำให้เหมาะและวิศวกรรมความเชื่อถือได้,3
รศ.ดร. นฤมล วัฒนพงศกร,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 452,การเจาะหาเหมืองข้อมูล,3
รศ.ดร. นฤมล วัฒนพงศกร,ภาระงานสอนในปัจจุบัน,ปริญญาโท,CPE 613,วิธีการทำให้เหมาะสมที่สุด,3
รศ.ดร. นฤมล วัฒนพงศกร,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 111,คณิตศาสตร์ดิสครีตสำหรับวิศวกรคอมพิวเตอร์,3
รศ.ดร. นฤมล วัฒนพงศกร,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 351,การออกแบบการทำให้เหมาะและการคำนวณเชิงวิวัฒนาการ,3
รศ.ดร. นฤมล วัฒนพงศกร,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 456,การเจาะหาเหมืองข้อมูล,3
รศ.ดร. พีรพล ศิริพงศ์วุฒิกร,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 212,การออกแบบขั้นตอนวิธี,3
รศ.ดร. พีรพล ศิริพงศ์วุฒิกร,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 341,เครือข่ายคอมพิวเตอร์,3
รศ.ดร. พีรพล ศิริพงศ์วุฒิกร,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 442,ปฏิบัติการเครือข่ายคอมพิวเตอร์,2
รศ.ดร. พีรพล ศิริพงศ์วุฒิกร,ภาระงานสอนในปัจจุบัน,ปริญญาโท,CPE 601,การออกแบบการทดลองและวิเคราะห์ข้อมูล,3
รศ.ดร. พีรพล ศิริพงศ์วุฒิกร,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 231,การออกแบบขั้นตอนวิธี,3
รศ.ดร. พีรพล ศิริพงศ์วุฒิกร,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 314,เครือข่ายคอมพิวเตอร์,3
รศ.ดร. พีรพล ศิริพงศ์วุฒิกร,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 475,อินเทอร์เน็ตของสรรพสิ่ง,3
รศ.ดร. ณัฐชา เดชดำรง,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 121,คณิตศาสตร์ดิสครีตสำหรับวิศวกรคอมพิวเตอร์,3
รศ.ดร. ณัฐชา เดชดำรง,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 212,การออกแบบขั้นตอนวิธี,3
รศ.ดร. ณัฐชา เดชดำรง,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 361,คอมพิวเตอร์กราฟิกส์,3
รศ.ดร. ณัฐชา เดชดำรง,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 467,การออกแบบและผลิตเกม,3
รศ.ดร. ณัฐชา เดชดำรง,ภาระงานสอนในปัจจุบัน,ปริญญาโท,CPE 630,คอมพิวเตอร์ช่วยในการออกแบบรูปทรงเรขาคณิต,3
รศ.ดร. ณัฐชา เดชดำรง,ภาระงานสอนในปัจจุบัน,ปริญญาโท,CPE 631,แบบจำลองรูปทรงเรขาคณิตขั้นสูง,3
รศ.ดร. ณัฐชา เดชดำรง,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 111,คณิตศาสตร์ดิสครีตสำหรับวิศวกรคอมพิวเตอร์,3
รศ.ดร. ณัฐชา เดชดำรง,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 231,การออกแบบขั้นตอนวิธี,3
รศ.ดร. ณัฐชา เดชดำรง,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 381,คอมพิวเตอร์กราฟิกส์,3
รศ.ดร. ณัฐชา เดชดำรง,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 384,คอมพิวเตอร์แอนิเมชัน,3
รศ.ดร. ณัฐชา เดชดำรง,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 385,การออกแบบและการพัฒนาเกม,3
ผศ.ดร. ณัฐนาถ ฟาคุนเด๊ซ,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 101,เปิดโลกวิศวกรรมศาสตร์,3
ผศ.ดร. ณัฐนาถ ฟาคุนเด๊ซ,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 372,การประมวลผลภาษาธรรมชาติ,3
ผศ.ดร. ณัฐนาถ ฟาคุนเด๊ซ,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 374,ปฏิสัมพันธ์ระหว่างมนุษย์กับคอมพิวเตอร์,3
ผศ.ดร. ณัฐนาถ ฟาคุนเด๊ซ,ภาระงานสอนในปัจจุบัน,ปริญญาโท,CPE 632,ปฏิสัมพันธ์ระหว่างมนุษย์กับคอมพิวเตอร์,3
ผศ.ดร. ณัฐนาถ ฟาคุนเด๊ซ,ภาระงานสอนในปัจจุบัน,ปริญญาโท,CPE 641,การประมวลผลภาษาธรรมชาติ,3
ผศ.ดร. ณัฐนาถ ฟาคุนเด๊ซ,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 101,เปิดโลกวิศวกรรมศาสตร์,3
ผศ.ดร. ณัฐนาถ ฟาคุนเด๊ซ,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 352,การประมวลผลภาษาธรรมชาติ,3
ผศ.ดร. ณัฐนาถ ฟาคุนเด๊ซ,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 363,ปฏิสัมพันธ์ระหว่างมนุษย์กับคอมพิวเตอร์,3
ผศ.ดร. สันติธรรม พรหมอ่อน,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 213,แบบจำลองข้อมูล,3
ผศ.ดร. สันติธรรม พรหมอ่อน,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 325,ข้อมูลขนาดใหญ่,3
ผศ.ดร. สันติธรรม พรหมอ่อน,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 332,ประเด็นความเป็นมืออาชีพด้านวิศวกรรมคอมพิวเตอร์,1
ผศ.ดร. สันติธรรม พรหมอ่อน,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 373,การประมวลผลเสียงพูด,3
ผศ.ดร. สันติธรรม พรหมอ่อน,ภาระงานสอนในปัจจุบัน,ปริญญาโท,CPE 624,ข้อมูลขนาดใหญ่,3
ผศ.ดร. สันติธรรม พรหมอ่อน,ภาระงานสอนในปัจจุบัน,ปริญญาโท,CPE 642,การประมวลผลเสียงพูด,3
ผศ.ดร. สันติธรรม พรหมอ่อน,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 232,แบบจำลองข้อมูล,3
ผศ.ดร. สันติธรรม พรหมอ่อน,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 353,เครื่องสืบค้นและการเจาะหาในอินเทอร์เน็ต,3
ผศ.ดร. สันติธรรม พรหมอ่อน,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 354,การจำลองและแบบจำลองสถานการณ์สำหรับวิทยาศาสตร์เชิงคำนวณ,3
ผศ.ดร. สันติธรรม พรหมอ่อน,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 458,การเรียนรู้เชิงลึก,3
ผศ.ดร. สุธาทิพย์ มณีวงศ์วัฒนา,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 223,อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรก,3
ผศ.ดร. สุธาทิพย์ มณีวงศ์วัฒนา,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 315,สัญญาณและระบบเชิงเส้น,3
ผศ.ดร. สุธาทิพย์ มณีวงศ์วัฒนา,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 222,อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรก,3
ผศ.ดร. สุธาทิพย์ มณีวงศ์วัฒนา,ภาระงานสอนในหลักสูตรนี้,ปริญญาตรี,CPE 313,สัญญาณและระบบเชิงเส้น,3
ผศ.ดร. จุมพล พลวิชัย,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 100,การเขียนโปรแกรมคอมพิวเตอร์สำหรับวิศวกร,3
ผศ.ดร. จุมพล พลวิชัย,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 101,เปิดโลกวิศวกรรมศาสตร์,3
ผศ.ดร. จุมพล พลวิชัย,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 371,ปัญญาประดิษฐ์,3
ผศ.ดร. จุมพล พลวิชัย,ภาระงานสอนในปัจจุบัน,ปริญญาตรี,CPE 376,การเขียนโปรแกรมหุ่นยนต์อัจฉริยะ,3
