name,education,teaching_load,publications_5y
รศ.ดร. ธำรงรัตน์ อมรรักษา,"ปี ค.ศ. 1999  Ph.D. (Electronic and Electrical Engineering), University of Surrey, U.K.
ปี ค.ศ. 1996  M.S. (Electronic and Electrical Engineering), University of Surrey, U.K.
ปี พ.ศ. 2538  วศ.บ. (วิศวกรรมไฟฟ้า), มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,
ประเทศไทย","2.1 ภาระงานสอนในปัจจุบัน
รายวิชาระดับปริญญาตรี
CPE 314 เครือข่ายคอมพิวเตอร์     3 หน่วยกิต
(Computer Networks)
CPE 341 เครือข่ายคอมพิวเตอร์     3 หน่วยกิต
(Computer Networks)
CPE 464 การประมวลผลรูปภาพดิจิทัลสำหรับการป้องกันลิขสิทธิ์ 3 หน่วยกิต
(Digital Image Processing for Copyright Protection)
CPE 381 ความปลอดภัยของข้อมูลสำหรับการสื่อสารสื่อประสม  3 หน่วยกิต
(Data Security for Multimedia Communications)
รายวิชาระดับบัณฑิตศึกษา
รายวิชาระดับปริญญาโท
CPE 602 สัมมนาวิศวกรรมคอมพิวเตอร์    1 หน่วยกิต
(Computer Engineering Seminar)
CPE 633 การทำลายน้ำดิจิทัลสำหรับเนื้อหาสื่อประสม   3 หน่วยกิต
(Digital Watermarking for Multimedia Content)
CPE 655 ความมั่นคงปลอดภัยข้อมูลสำหรับการสื่อสารสื่อประสม 3 หน่วยกิต
(Data Security for Multimedia Communications)
รายวิชาระดับปริญญาเอก
CPE 691 ระเบียบวิธีวิจัย      2 หน่วยกิต
(Research Methodology)
CPE 711 สัมมนาวิศวกรรมไฟฟ้าและคอมพิวเตอร์   1 หน่วยกิต
(Electrical and Computer Engineering Seminar)
2.2 ภาระงานสอนในหลักสูตรนี้
รายวิชาระดับปริญญาตรี
CPE 314 เครือข่ายคอมพิวเตอร์     3 หน่วยกิต
(Computer Networks)
CPE 373 ความมั่นคงของข้อมูลสำหรับการสื่อสารสื่อประสม  3 หน่วยกิต
(Data Security for Multimedia Communications)
CPE 383 การประมวลผลรูปภาพดิจิทัลสำหรับการป้องกันลิขสิทธิ์ 3 หน่วยกิต
(Digital Image Processing for Copyright Protection)
CPE 474 ความมั่นคงของสารสนเทศและคอมพิวเตอร์   3 หน่วยกิต
(Computer and Information Security)","International Conference Proceedings
1. Pramoun, T., Srakaew, S. and Amornraksa, T., 2019,  ""Image Watermarking based on
Modified Harmonic Mean Filter "", Asia Digital Image Processing Conference (ADIP
2019), December 21-23, Kobe, Japan, pp. 97-103.
2. Chotikawanid, P., Pramoun, T., Thongkor, K., Supasirisun, P. and Amornraksa, T., 2018,
""Image Watermarking Using Adaptive Local Noise Reduction Filter"", Proc. of ECTI-CON
2018, July 18-21, Chiang Rai, Thailand, pp. 816-819.
3. Pramoun, T., Supasirisun, P.  and Amornraksa, T., 2018, ""Digital Watermarking on
Recolored Images for Protanopia "", Proc. of ECTI-CON 2018, July 18-21, Chiang Rai,
Thailand, pp. 258-261.
4. Pramoun, T., Chotikawanida, P. and Amornraksa, T., 2018,  ""Enhanced Homomorphic
Filter Based Image Watermarking Method"", Proc. the 8th International Congress on
Engineering and Information (ICEAI2018), May 1-4, Sapporo, Japan, pp. 193-204.
International Journal
1. Thongkor, K., Amornraksa, T. and Delp, E.J., 2018, ""Digital Watermarking for Camera -
captured Images based on Just Noticeable Distortion and Wiener Filtering "", Journal
of Visual Communication and Image Representation  , Vol. 53, pp. 146-160, DOI
10.1016/j.jvcir.2018.03.005 (JIF 2016 = 2.164)."
รศ.ดร. นฤมล วัฒนพงศกร,"ปี ค.ศ. 2000  Ph.D. (Electrical Engineering), University of Pittsburgh, U.S.A.
ปี ค.ศ. 1995  M.Eng. (Electrical Engineering), George Washington University, U.S.A.
ปี ค.ศ. 1994  B.Eng. (Computer Engineering), George Washington University, U.S.A.","2.1 ภาระงานสอนในปัจจุบัน
รายวิชาระดับปริญญาตรี
CPE 121 คณิตศาสตร์ดิสครีตสำหรับวิศวกรคอมพิวเตอร์   3 หน่วยกิต
(Discrete Mathematics for Computer Engineers)
CPE  341 การออกแบบการทำให้เหมาะและวิศวกรรมความเชื่อถือได้ 3 หน่วยกิต
(Optimization Design and Reliability Engineering)
CPE  452 การเจาะหาเหมืองข้อมูล     3 หน่วยกิต
(Data Mining)
รายวิชาระดับบัณฑิตศึกษา
รายวิชาระดับปริญญาโท
CPE  613 วิธีการทำให้เหมาะสมที่สุด     3 หน่วยกิต
(Optimization Methods)
2.2 ภาระงานสอนในหลักสูตรนี้
รายวิชาระดับปริญญาตรี
CPE  111 คณิตศาสตร์ดิสครีตสำหรับวิศวกรคอมพิวเตอร์   3 หน่วยกิต
(Discrete Mathematics for Computer Engineers)
CPE  351 การออกแบบการทำให้เหมาะและการคำนวณเชิงวิวัฒนาการ 3 หน่วยกิต
(Optimization Design and Evolutionary Computing)
CPE  456 การเจาะหาเหมืองข้อมูล     3 หน่วยกิต
(Data Mining)","International Conference Proceedings
1. Thungrut, W. and Wattanapongsakorn, N., 2018, “Diabetes Classification with Fuzzy
Genetic Algorithm ”, International Conference on Computing and Information
Technology (IC2IT 2018): Recent Advances in Information and Communication
Technology 2018 , pp. 107-114. Part of the Advances in Intelligent Systems and
Computing book series (AISC, volume 769).
2. Alzahrani, S. M. and Wattanapongsakorn, N., 2017, “Performance Evaluation of Knee-
Based Algorithms for Many-Objective Optimization”, ITC-CSCC 2017, July 2-5, Busan,
Korea.
3. Sooktip, T. and Wattananpongsakorn, N., 2017, “Trade-Off Method for Multi-Objective
Optimization Considering Decision Maker ’s Preferences ”, ITC-CSCC 2017, July 2-5,
Busan, Korea.
4. Mahdavian, M., Sudeng, S. and Wattanapongsakorn, N., 2016,  “Multi-Objective
Optimization and Decision  Making for Greenhouse Climate Control System ”
International Conference on Information Science and Security , 19-22 December,
Pattaya, Thailand.
International Journal
1. Alzahrani, S. M. and Wattanapongsakorn, N., 2018, “Comparative Study of Knee-Based
Algorithms for Many -Objective Optimization Problems ”, ECTI-Transactions on
Computer and Information Technology, Vol. 12, No. 1.
2. Sooktip, T. and Wattananpongsakorn, N., 2017, “A Decision Making Approach for Multi-
Objective Optimization Considering A Trade -Off Method ”, ECTI-Transactions on
Computer and Information Technology, Vol. 11, No. 2.
3. Mahdavian, M., Sudeng, S. and Wattanapongsakorn, N., 2017,  “Multi-objective
Optimization and Decision Making for Greenhouse Climate Control System
Considering User Preference and Data Clustering”,  Cluster Computing – The Journal
of Networks Software Tools and Applications, March, Vol. 20, Issue 1, Special Issue:
SI, pp. 835-853.
4. Mahdavian, M. and Wattanapongsakorn, N., 2017, “Optimizing Greenhouse Lighting for
Advanced Agriculture Based on Real Time Electricity Market Price ”, Mathematical
Problems in Engineering, Article Number: 6862038.
5. Chatwattanasiri, N., Coit, D.W. and Wattanapongsakorn, N., 2016, “System Redundancy
Optimization with Uncertain Stress -based Component Reliability : Minimization of
Regret”, Reliability Engineering and System Safety, Vol. 154, pp. 73-83.
6. Sudeng, S. and Wattanapongsakorn,  N., 2016, “A Knee -based Multi -Objective
Evolutionary Algorithm : an Extension to Network System Optimization Design
Problem”, Cluster Computing, Vol. 19, No. 1, pp. 411-425."
รศ.ดร. พีรพล ศิริพงศ์วุฒิกร,"ปี ค.ศ. 2003  Ph.D. (Information Sciences), University of Pittsburgh, U.S.A.
ปี ค.ศ. 1998  M.Sc. (Telecommunications), University of Pittsburgh, U.S.A.
ปี พ.ศ. 2538  วศ.บ. (วิศวกรรมโทรคมนาคม), สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหาร
ลาดกระบัง, ประเทศไทย","2.1 ภาระงานสอนในปัจจุบัน
รายวิชาระดับปริญญาตรี
CPE  212 การออกแบบขั้นตอนวิธี     3 หน่วยกิต
(Algorithm Design)
CPE  341 เครือข่ายคอมพิวเตอร์     3 หน่วยกิต
(Computer Networks)
CPE  442 ปฏิบัติการเครือข่ายคอมพิวเตอร์    2 หน่วยกิต
(Computer Network Laboratory)
รายวิชาระดับบัณฑิตศึกษา
รายวิชาระดับปริญญาโท
CPE  601 การออกแบบการทดลองและวิเคราะห์ข้อมูล    3 หน่วยกิต
(Experimental Design and Data Analysis)
2.2 ภาระงานสอนในหลักสูตรนี้
รายวิชาระดับปริญญาตรี
CPE  231 การออกแบบขั้นตอนวิธี     3 หน่วยกิต
(Algorithm Design)
CPE  314 เครือข่ายคอมพิวเตอร์     3 หน่วยกิต
(Computer Networks)
CPE  475 อินเทอร์เน็ตของสรรพสิ่ง     3 หน่วยกิต
(Internet of Things)","International Journal
1. Wongdeethai, S. and Siripongwutikorn, P., 2017, ""Comparison of Data Dissemination
Protocols for Road Traffic Collecting Application in a Vehicular Ad hoc Networks "",
International Journal of Applied Science and Technology , July-September, Vol.
10, No. 3, pp. 177-189,  ISSN: 2465-4531.
2. Tangmankhong, T., Siripongwutikorn, P. and Achalakul, T., 2017, ""Design and Analysis
of Peer-to-Peer Fault Tolerance Approach in a Grid Computing System "", Chiang Mai
Journal of Science, April, Vol. 44, No. 2, pp. 688-698,  ISSN:0125-2526 IF 0.437, Q4.
3. Wongdeethai, S. and Siripongwutikorn, P., 2016, ""Collecting Road Traffic Information
using Vehicular Ad hoc Networks "", EURASIP Journal of Wireless Communication
and Networking (2016), 2016:9 DOI 10.1186/s13638-015-0513-0. ISSN:1687-1499."
รศ.ดร. ณัฐชา เดชดำรง,"ปี ค.ศ. 2000  D.Tech.Sci. (Computer Science and Information Management),
Asian Institute of Technology, Thailand
ปี ค.ศ. 1994  M.S. (Computer Science), Asian Institute of Technology, Thailand.
ปี พ.ศ. 2535  วท.บ. (วิทยาการคอมพิวเตอร์), มหาวิทยาลัยธรรมศาสตร์, ประเทศไทย","2.1 ภาระงานสอนในปัจจุบัน
รายวิชาระดับปริญญาตรี
CPE  121 คณิตศาสตร์ดิสครีตสำหรับวิศวกรคอมพิวเตอร์   3 หน่วยกิต
(Discrete Mathematics for Computer Engineers)
CPE  212 การออกแบบขั้นตอนวิธี     3 หน่วยกิต
(Algorithm Design)
CPE  361 คอมพิวเตอร์กราฟิกส์     3 หน่วยกิต
(Computer Graphics)
CPE  467 การออกแบบและผลิตเกม     3 หน่วยกิต
(Game Design and Development)
รายวิชาระดับบัณฑิตศึกษา
รายวิชาระดับปริญญาโท
CPE  630 คอมพิวเตอร์ช่วยในการออกแบบรูปทรงเรขาคณิต  3 หน่วยกิต
(Computer Aided Geometric Design)
CPE  631 แบบจำลองรูปทรงเรขาคณิตขั้นสูง    3 หน่วยกิต
(Advanced Geometric Modeling)
2.2 ภาระงานสอนในหลักสูตรนี้
รายวิชาระดับปริญญาตรี
CPE  111 คณิตศาสตร์ดิสครีตสำหรับวิศวกรคอมพิวเตอร์   3 หน่วยกิต
(Discrete Mathematics for Computer Engineers)
CPE  231 การออกแบบขั้นตอนวิธี     3 หน่วยกิต
(Algorithm Design)
CPE  381 คอมพิวเตอร์กราฟิกส์     3 หน่วยกิต
(Computer Graphics)
CPE  384 คอมพิวเตอร์แอนิเมชัน     3 หน่วยกิต
(Computer Animation)
CPE  385 การออกแบบและการพัฒนาเกม    3 หน่วยกิต
(Game Design and Development)","International Journal
1. Nuntawisuttiwong, T. and Dejdumrong, N., 2019, “ Fast and Efficient Algorithms for
Evaluating Uniform and Nonuniform Lagrange and Newton Curves”, World Academy
of Science, Engineering and Technology , Open Science Index 152, International
Journal of Computer and Information Engineering, Vol. 13, No. 8, pp. 448 - 452.
2. Nuntawisuttiwong, T. and Dejdumrong, N.,  2019, “  Monomial Form Approach t o
Rectangular Surface Modeling”,  World Academy of Science, Engineering and
Technology, Open Science Index 152, International Journal of Computer and
Information Engineering, Vol. 13, No. 8, pp. 453 - 457."
ผศ.ดร. ณัฐนาถ ฟาคุนเด๊ซ,"ปี ค.ศ. 2002  Ph.D. (Computational Linguistics), State University of New York, U.S.A.
ปี ค.ศ. 1999  M.A. (Computational Linguistics), State University of New York, U.S.A.
ปี พ.ศ. 2537  อ.บ. (ภาษาตะวันตก), จุฬาลงกรณ์มหาวิทยาลัย, ประเทศไทย","2.1 ภาระงานสอนในปัจจุบัน
รายวิชาระดับปริญญาตรี
CPE  101 เปิดโลกวิศวกรรมศาสตร์     3 หน่วยกิต
(Engineering Exploration)
CPE  372 การประมวลผลภาษาธรรมชาติ    3 หน่วยกิต
(Natural Language Processing)
CPE  374 ปฏิสัมพันธ์ระหว่างมนุษย์กับคอมพิวเตอร์   3 หน่วยกิต
(Human-Computer Interaction)
รายวิชาระดับบัณฑิตศึกษา
รายวิชาระดับปริญญาโท
CPE  632 ปฏิสัมพันธ์ระหว่างมนุษย์กับคอมพิวเตอร์   3 หน่วยกิต
(Human-Computer Interaction)
CPE  641 การประมวลผลภาษาธรรมชาติ    3 หน่วยกิต
(Natural Language Processing)
2.2 ภาระงานสอนในหลักสูตรนี้
รายวิชาระดับปริญญาตรี
CPE  101 เปิดโลกวิศวกรรมศาสตร์     3 หน่วยกิต
(Engineering Exploration)
CPE  352 การประมวลผลภาษาธรรมชาติ    3 หน่วยกิต
(Natural Language Processing)
CPE  363 ปฏิสัมพันธ์ระหว่างมนุษย์กับคอมพิวเตอร์   3 หน่วยกิต
(Human-Computer Interaction)","International Conference Proceedings
1. Piyaphakdeesakun, C., Facundes, N.M. and Polvichai, J., 2019, “Thai Comments
Sentiment Analysis on Social Networks with Deep Learning Approach”, The 34th
International Technical Confernce  on Circuits/Systems, Computers and
Communications 2019, June 23-26, Jeju, Korea, pp. 361-384.
2. Facundes, N.M., 2019, “Peer Teaching for CDIO Standards in Computer Programming
Education” , E- learning Forum Asia 2019, May 29-31, Bangkok, Thailand, pp. 67-68.
3. Nuttanart Facundes,  2018,  ""Computer-Assisted Foreign Language Learning: Towards
iCALL"",  The 13th Foreign Language Teaching and Research Conference,  22 - 23
September 2018.  Ehime University Matsuyama.  pp. 1-4."
ผศ.ดร. สันติธรรม พรหมอ่อน,"ปี พ.ศ. 2552  ปร.ด. (วิศวกรรมไฟฟ้าและคอมพิวเตอร์), มหาวิทยาลัยเทคโนโลยีพระจอมเกล้า
ธนบุรี, ประเทศไทย
ปี พ.ศ. 2545  วศ.บ. (วิศวกรรมคอมพิวเตอร์), มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,
ประเทศไทย","2.1 ภาระงานสอนในปัจจุบัน
รายวิชาระดับปริญญาตรี
CPE  213 แบบจำลองข้อมูล       3 หน่วยกิต
(Data Models)
CPE  325 ข้อมูลขนาดใหญ่       3 หน่วยกิต
(Big Data)
CPE  332 ประเด็นความเป็นมืออาชีพด้านวิศวกรรมคอมพิวเตอร์   1 หน่วยกิต
(Professional Issues in Computer Engineering)
CPE  373 การประมวลผลเสียงพูด      3 หน่วยกิต
(Speech Processing)
รายวิชาระดับบัณฑิตศึกษา
รายวิชาระดับปริญญาโท
CPE  624 ข้อมูลขนาดใหญ่       3 หน่วยกิต
(Big Data)
CPE  642 การประมวลผลเสียงพูด      3 หน่วยกิต
(Speech Processing)
2.2 ภาระงานสอนในหลักสูตรนี้
รายวิชาระดับปริญญาตรี
CPE  232 แบบจำลองข้อมูล       3 หน่วยกิต
(Data Models)
CPE  353 เครื่องสืบค้นและการเจาะหาในอินเทอร์เน็ต    3 หน่วยกิต
(Search Engine and Internet Mining)
CPE  354 การจำลองและแบบจำลองสถานการณ์สำหรับวิทยาศาสตร์เชิงคำนวณ 3 หน่วยกิต
(Modeling and Simulation for Computational Science)
CPE  458 การเรียนรู้เชิงลึก       3 หน่วยกิต
(Deep Learning)","International Conference Proceedings
1. Chaiyo, K., Xu, Y.  and Prom -on, S., 2019, “Time Delays in Tone Production : A
Computational Study of Thai Tones”, The 19th International Congress of Phonetic
Sciences (ICPhS 2019), August 5-9, Melbourne, Australia. pp.1-5
2. Kaewprateep, J. and Prom-on, S., 2018, “Evaluation of Small -Scale Deep Learning
Architectures in Thai Speech Recognition ”, The 2018 International ECTI Northern
Section Conference on Electrical, Electronics, Computer, and
Telecommunications Engineering (ECTI-NCON 2018), February 25 -28, Chiang Rai,
Thailand, pp. 60-64.
International Journals
1. Fairee, S., Prom-on, S. and Sirinaovakul, B., 2018, “Reinforcement Learning for Solution
Updating in Artificial Bee Colony”, PLoS ONE 13(7), e0200738.
2. Tongyoo, P., Avihingsanon, Y., Prom-on, S., Mutirangura, A., Mhuantong, W. and
Hirankarn, N. , 2017, “EnHERV: Enrichment Analysis of Specific Human Endogenous
Retrovirus Patterns and Their Neighboring Genes”, PLoS ONE 12 (5), e0177119."
ผศ.ดร. สุธาทิพย์ มณีวงศ์วัฒนา,"ปี พ.ศ. 2552  ปร.ด. (วิศวกรรมไฟฟ้าและคอมพิวเตอร์), มหาวิทยาลัยเทคโนโลยีพระจอมเกล้า
ธนบุรี, ประเทศไทย
ปี พ.ศ. 2544  วศ.บ. (วิศวกรรมคอมพิวเตอร์), มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,
ประเทศไทย","2.1 ภาระงานสอนในปัจจุบัน
รายวิชาระดับปริญญาตรี
CPE  223 อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรก   3 หน่วยกิต
(Digital Electronics and Logic Design)
CPE  315    สัญญาณและระบบเชิงเส้น      3 หน่วยกิต
(Signals and Linear Systems)
2.2 ภาระงานสอนในหลักสูตรนี้
รายวิชาระดับปริญญาตรี
CPE  222 อิเล็กทรอนิกส์ดิจิทัลและการออกแบบวงจรเชิงตรรก   3 หน่วยกิต
(Digital Electronics and Logic Design
CPE  313 สัญญาณและระบบเชิงเส้น      3 หน่วยกิต
(Signals and Linear Systems)","International Conference Proceedings
1. Tustanah Phukhachee & Suthathip Maneewongvatana & Boonserm
Kaewkamnerdpong & Boonserm Kaewkamnerdpong,  2019,  ""Analyzing Motivational
Components of Visual Cognitive Stimulus"",  Biomedical Engineering International
Conference,  19 - 22 November 2019.  Sunee Grand Hotel & Conven tion Center
Ubonratchathani.  pp. 1-5.
2. Tustanah Phukhachee & ธเนศ อังศุวัฒนากุล & เคจิ อิระมินะ & Suthathip
Maneewongvatana & Boonserm Kaewkamnerdpong & Boonserm Kaewkamnerdpong,
2017,  ""Measuring Brain Activation by Using Baseline -Normalized Event -Related
Spectral Perturbation in Working Memory Task"",  The 39th Annual International
Conference of the IEEE Engineering in Medicine and Biology Society (EMBC’ 17),  11 -
15 July 2017.  International Convention Center (ICC) Jeju Island.  pp. 4379-4382.
International Journal
1. Phukhachee, T., Maneewongvatana, S.C.,  Angsuwatanakul, T., Iramina, K.  and
Kaewkamnerdpong, B., 2019, “Investigating the Effect of Intrinsic Motivation on Alpha
Desynchronization Using Sample Entropy”, Entropy, Vol. 21, No. 3, March, pp. 237.(1-
15) https://doi.org/10.3390/e21030237"
ผศ.ดร. จุมพล พลวิชัย,"ปี ค.ศ. 2006  Ph.D. (Information Science), University of Pittsburgh, U.S.A.
ปี ค.ศ. 2001  M.S. (Electrical and Computer Engineering), Carnegie Mellon
University, U.S.A.
ปี พ.ศ. 2540  วศ.ม. (วิศวกรรมคอมพิวเตอร์), จุฬาลงกรณ์มหาวิทยาลัย, ประเทศไทย
ปี พ.ศ. 2534  วศ.บ. (วิศวกรรมคอมพิวเตอร์), สถาบันเทคโนโลยีพระจอมเกล้าธนบุรี,
ประเทศไทย","2.1 ภาระงานสอนในปัจจุบัน
รายวิชาระดับปริญญาตรี
CPE  100 การเขียนโปรแกรมคอมพิวเตอร์สำหรับวิศวกร   3 หน่วยกิต
(Computer Programming for Engineers)
CPE  101 เปิดโลกวิศวกรรมศาสตร์     3 หน่วยกิต
(Engineering Exploration)
CPE  371 ปัญญาประดิษฐ์      3 หน่วยกิต
(Artificial Intelligence)
CPE  376 การเขียนโปรแกรมหุ่นยนต์อัจฉริยะ    3 หน่วยกิต
(Intelligent Robot Programming)
CPE  377 การออกแบบหุ่นยนต์ในทางปฏิบัติ    3 หน่วยกิต
(Practical Robot Design)
รายวิชาระดับบัณฑิตศึกษา
รายวิชาระดับปริญญาโท
CPE  640 ปัญญาประดิษฐ์      3 หน่วยกิต
(Artificial Intelligence)
CPE  643 การประยุกต์การเรียนรู้ของเครื่อง    3 หน่วยกิต
(Applied Machine Learning)
2.2 ภาระงานสอนในหลักสูตรนี้
รายวิชาระดับปริญญาตรี
CPE  101 เปิดโลกวิศวกรรมศาสตร์     3 หน่วยกิต
(Engineering Exploration)
CPE  342 การเรียนรู้ของเครื่อง     3 หน่วยกิต
(Machine Learning)
CPE  365 การเขียนโปรแกรมหุ่นยนต์อัจฉริยะ    3 หน่วยกิต
(Intelligent Robot Programming)
CPE  366 การออกแบบหุ่นยนต์ในทางปฏิบัติ    3 หน่วยกิต
(Practical Robot Design)
CPE  457 ปัญญาประดิษฐ์      3 หน่วยกิต
(Artificial Intelligence)","International Conference Proceedings
1. Lamjiak, T., Keawthonggrach, R., Polvichai, J., Sirinaovakul, B., Ratanasanya, S. and
Chidthaisong, A., 2019 , “ Clustering of Leaf Characteristics in Secondary Dry
Dipterocarp Forest based on Particle Swarm Optimization”, The 4 thInternational
Conference on Digital Arts, Media and Technology and 2nd ECTI Northern Section
Conference on Electrical, Electronics,Computer and telecommunication Engineering,
January30 - February 2, Nan, Thailand, pp. 251-254.
2. Visavakitcharoen, A., Ratanasanya, S. and Polvichai, J., 2019 , “Improving Thai Herb
Image Classification using Convolution Neural Networks with Boots up Features”, The
34 th International Technical Conference on Circuits/Systems, Computers and
Communications (ITC-CSCC2019), June 23-26, Jeju, Korea, pp. 318-321."
ผศ.ดร. พร พันธุ์จงหาญ,"ปี ค.ศ. 2013  Ph.D. (Electrical and Computer Engineering), University of Manitoba,
Canada
ปี พ.ศ. 2550  วศ.ม. (วิศวกรรมคอมพิวเตอร์) มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,
ประเทศไทย
ปี พ.ศ. 2548  วศ.บ. (วิศวกรรมคอมพิวเตอร์) มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,
ประเทศไทย","2.1 ภาระงานสอนในปัจจุบัน
รายวิชาระดับปริญญาตรี
CPE  231 ระบบฐานข้อมูล      3 หน่วยกิต
(Database Systems)
CPE  327 วิศวกรรมซอฟต์แวร์      3 หน่วยกิต
(Software Engineering)
รายวิชาระดับบัณฑิตศึกษา
รายวิชาระดับปริญญาโท
CPE  611 ทฤษฎีแถวคอย      3 หน่วยกิต
(Queueing Theory)
CPE  621 การนำเสนอแผนภาพข้อมูล     1 หน่วยกิต
(Data Visualization)
2.2 ภาระงานสอนในหลักสูตรนี้
รายวิชาระดับปริญญาตรี
CPE   241 ระบบฐานข้อมูล      3 หน่วยกิต
(Database Systems)
CPE   334 วิศวกรรมซอฟต์แวร์     3 หน่วยกิต
(Software Engineering)","International Conference Proceedings
1. Li, Z., Kitcharoenpaisan, C., Phunchongharn, P., Yang, Y., Goh, R.S. M. and Li, Y., 2019,
""Efficient Multi -Party Computational Algorithm Design for real -world Applications"" ,
IEEE International Conference on Parallel and Distributed Systems (ICPADS) ,
December 4-6, Tianjin, China. pp.1006-1009.
2. Arsomngern, P., Numcharoenpinij, N., Piriyataravet, J.,  Teerapan, W., Hinthong, W. and
Phunchongharn, P., 2019,  “Computer-Aided Diagnosis for Lung Lesion in Componion
Animals from X -ray Images Using Deep Learning Techniques” , The 10th IEEE
International Conference on Awareness Science and Technology  (iCAST2019),
October 23-25, Aiina, Morioka, Japan. pp.1-6 DOI: 10.1109/ICAwST.2019.8923126
International Journals:
1. Pumma, S., Feng,  W., Phunchongharn, P., Chapeland, S. and Achalakul, T., 2017, “A
Runtime Estimation Framework for ALICE ”, Future Generation Computer Systems,
Vol. 72, pp. 65-77."
ผศ.ดร. ขจรพงษ์ อัครจิตสกุล,"ปี ค.ศ. 2012  Ph.D. (Electrical and Computer Engineering), University of Manitoba,
Canada.
ปี พ.ศ. 2550  วศ.ม. (วิศวกรรมคอมพิวเตอร์) มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,
ประเทศไทย
ปี พ.ศ. 2548  วศ.บ. (วิศวกรรมคอมพิวเตอร์) มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,
ประเทศไทย","2.1 ภาระงานสอนในปัจจุบัน
รายวิชาระดับปริญญาตรี
CPE  231 ระบบฐานข้อมูล      3 หน่วยกิต
(Database Systems)
CPE  327 วิศวกรรมซอฟต์แวร์      3 หน่วยกิต
(Software Engineering)
รายวิชาระดับบัณฑิตศึกษา
รายวิชาระดับปริญญาโท
CPE  612 ทฤษฎีเกม       3 หน่วยกิต
(Game Theory)
2.2 ภาระงานสอนในหลักสูตรนี้
รายวิชาระดับปริญญาตรี
CPE   241 ระบบฐานข้อมูล      3 หน่วยกิต
(Database Systems)
CPE   334 วิศวกรรมซอฟต์แวร์     3 หน่วยกิต
(Software Engineering)","International Conference Proceedings
1. Mulyadi, F. and Akkarajitsakul, K., 2019, “Load Balancing in Distributed Systejms: A
Non-Cooperative Game Approach”, Asian Conference on Engineering and Natural
Sciences (2019 ACENS), January 22-24, Hokkaido, Japan, pp.240-254.
2. Putjaika, N., Phunchongharn, P., Akkarajitsakul, K. and  Taetragool,  U., 2018, “Joint
Mode Selection and Resource Allocation for Relay -Assisted Device -to-Device
Networks”, 28th International Telecommunication Networks and Applications
Conference (ITNAC), Sydney, Australia. pp.1-6. DOI: 10.1109/ATNAC.2018.8615378
International Journals
1. Jenviriyakul, P., Chalumporn, G., Achalakul, T., Costa, F. and Akkarajitsakul, K., 2019,
“ALICE Connex: A volunteer computing platform for the Time -Of-Flight
calibration of the ALICE experiment. An opportunistic use of CPU cycles on
Android devices”, Elsevier, Vol. 94, May 2019, pp. 510-523."
